Ad Concatenation,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Description,Description 2,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Category,Ad group,Status,Clicks,Impr.,CTR,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Recognition,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Recognition&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Recognition,Approved,45,579,7.77%,3.67,165.34,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Experiences,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Pricing&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Experiences,Approved,6,16,37.50%,0.93,5.57,0,0.00,0.00%
Blueboard Employee Recognition;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Recognition,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Recognition,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Recognition&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Recognition,Approved,0,1,0.00%,--,0.00,0,0.00,0.00%
Blueboard Employee Perks;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Perks,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Perks,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Perks&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Perks,Approved,9,172,5.23%,5.41,48.73,1,48.73,11.11%
Blueboard Bonus Program;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Bonus Program,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Bonus,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Bonus&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Bonus,Approved,0,31,0.00%,--,0.00,0,0.00,0.00%
Blueboard Employee Experiences;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Experiences,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Reviews&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Reviews,Approved,0,7,0.00%,--,0.00,0,0.00,0.00%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Awards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Employee%20Awards&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Employee Awards,Approved,2,162,1.23%,1.32,2.64,0,0.00,0.00%
"Unique Employee Perks Ideas;Blueboard Experiential Rewards;A Better Way to Reward Talent;Your Employees Want Experiences. Let Them Choose From Over 100+ Curated Choices.;Reward Top Talent with an Experience - Spa Day, Music Lesson, Bucket List Travel.",Expanded text ad,https://www.blueboard.com/,Unique Employee Perks Ideas,Blueboard Experiential Rewards,A Better Way to Reward Talent,Your Employees Want Experiences. Let Them Choose From Over 100+ Curated Choices.,"Reward Top Talent with an Experience - Spa Day, Music Lesson, Bucket List Travel.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Perks&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Perks,Approved,32,537,5.96%,2.62,83.84,1,83.84,3.13%
Blueboard Spiff Program;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Spiff Program,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Spiff,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Spiffs&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Spiffs,Approved,1,21,4.76%,5.74,5.74,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Perks,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Recognition&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Perks,Approved,35,511,6.85%,2.82,98.65,0,0.00,0.00%
